Code,Department,Status,Quota,Current Quota,Availability
BM 591.01,ALL,ALL,Unlimited,3,Available
BM 592.01,ALL,ALL,Unlimited,6,Available
BM 597.01,ALL,ALL,Unlimited,24,Available
BM 599.01,ALL,ALL,Unlimited,6,Available
BM 59B.01,ALL,ALL,Unlimited,7,Available
BM 59D.01,ALL,ALL,Unlimited,21,Available
BM 600.01,ALL,ALL,12,12,Full
BM 601.01,ALL,ALL,Unlimited,6,Available
BM 611.01,ALL,ALL,Unlimited,3,Available
BM 633.01,ALL,ALL,Consent Of Instructor,4,Available
BM 641.01,ALL,ALL,Consent Of Instructor,11,Available
BM 686.01,ALL,ALL,Consent Of Instructor,9,Available
BM 690.16,ALL,ALL,Consent Of Instructor,0,Available
BM 691.01,ALL,ALL,Consent Of Instructor,9,Available
BIS 596.02,ALL,ALL,Consent Of Instructor,1,Available
BIS 596.11,ALL,ALL,Consent Of Instructor,1,Available
BIS 690.02,ALL,ALL,Consent Of Instructor,1,Available
BIS 690.11,ALL,ALL,Consent Of Instructor,1,Available
CHE 202.01,CHEMICAL ENGINEERING,UNDERGRADUATE,Unlimited,80,Available
CHE 203.01,CHEMICAL ENGINEERING,UNDERGRADUATE,Unlimited,20,Available
CHE 222.01,CHEMICAL ENGINEERING,UNDERGRADUATE,Unlimited,79,Available
CHE 232.01,CHEMICAL ENGINEERING,UNDERGRADUATE,Unlimited,56,Available
CHE 302.01,CHEMICAL ENGINEERING,UNDERGRADUATE,36,33,Available
CHE 302.02,CHEMICAL ENGINEERING,UNDERGRADUATE,36,28,Available
CHE 334.01,CHEMICAL ENGINEERING,UNDERGRADUATE,Unlimited,84,Available
CHE 342.01,CHEMICAL ENGINEERING,UNDERGRADUATE,Unlimited,75,Available
CHE 386.01,CHEMICAL ENGINEERING,UNDERGRADUATE,Unlimited,67,Available
CHE 400.01,CHEMICAL ENGINEERING,UNDERGRADUATE,Consent Of Instructor,24,Available
CHE 413.01,ALL,ALL,Consent Of Instructor,12,Available
CHE 441.01,CHEMICAL ENGINEERING,UNDERGRADUATE,22,21,Available
CHE 460.01,ALL,ALL,Consent Of Instructor,28,Available
CHE 462.01,CHEMICAL ENGINEERING,UNDERGRADUATE,Unlimited,59,Available
CHE 484.01,CHEMICAL ENGINEERING,UNDERGRADUATE,8,7,Available
CHE 487.01,CHEMICAL ENGINEERING,UNDERGRADUATE,20,17,Available
CHE 487.01,MECHANICAL ENGINEERING,UNDERGRADUATE,5,6,Try to get consent
CHE 492.01,CHEMICAL ENGINEERING,UNDERGRADUATE,Unlimited,56,Available
CHE 529.01,ALL,ALL,Consent Of Instructor,17,Available
CHE 542.01,ALL,ALL,Consent Of Instructor,11,Available
CHE 578.01,ALL,ALL,Consent Of Instructor,6,Available
CHE 589.01,ALL,ALL,Consent Of Instructor,8,Available
CHE 690.01,ALL,ALL,Consent Of Instructor,1,Available
CHE 690.02,ALL,ALL,Consent Of Instructor,3,Available
CHE 690.03,ALL,ALL,Consent Of Instructor,0,Available
CHE 690.04,ALL,ALL,Consent Of Instructor,3,Available
CHE 690.06,ALL,ALL,0,0,Full
CHE 690.07,ALL,ALL,Consent Of Instructor,1,Available
CHE 690.09,ALL,ALL,Consent Of Instructor,0,Available
CHE 690.11,ALL,ALL,Consent Of Instructor,1,Available
CHE 690.12,ALL,ALL,Consent Of Instructor,7,Available
CHE 690.13,ALL,ALL,Consent Of Instructor,5,Available
CHE 690.14,ALL,ALL,Consent Of Instructor,6,Available
CHE 690.16,ALL,ALL,Consent Of Instructor,2,Available
CHE 790.01,ALL,ALL,Consent Of Instructor,0,Available
CHE 790.02,ALL,ALL,Consent Of Instructor,4,Available
CHE 790.03,ALL,ALL,Consent Of Instructor,1,Available
CHE 790.04,ALL,ALL,Consent Of Instructor,2,Available
CHE 790.06,ALL,ALL,0,0,Full
CHE 790.07,ALL,ALL,Consent Of Instructor,3,Available
CHE 790.09,ALL,ALL,Consent Of Instructor,2,Available
CHE 790.11,ALL,ALL,Consent Of Instructor,2,Available
CHE 790.12,ALL,ALL,Consent Of Instructor,6,Available
CHE 790.13,ALL,ALL,Consent Of Instructor,4,Available
CHE 790.14,ALL,ALL,Consent Of Instructor,1,Available
CHE 790.15,ALL,ALL,Consent Of Instructor,1,Available
CHEM103.01,CHEMICAL ENGINEERING,UNDERGRADUATE,Unlimited,17,Available
CHEM103.01,CHEMISTRY,UNDERGRADUATE,Unlimited,23,Available
CHEM103.01,COMPUTER EDUCATION & EDUCATIONAL TECHNOLOGY,UNDERGRADUATE,Unlimited,36,Available
CHEM103.01,INTEGRATED BS&MS PROGRAM IN TEACHING CHEMISTRY,UNDERGRADUATE,Unlimited,5,Available
CHEM103.01,INTEGRATED BS&MS PROGRAM IN TEACHING PHYSICS,UNDERGRADUATE,Unlimited,6,Available
CHEM103.01,MOLECULAR BIOLOGY & GENETICS,UNDERGRADUATE,Unlimited,14,Available
CHEM103.01,TEACHING CHEMISTRY,UNDERGRADUATE,Unlimited,5,Available
CHEM103.01,TEACHING CHEMISTRY PR.,UNDERGRADUATE,Unlimited,7,Available
CHEM103.01,TEACHING PHYSICS,UNDERGRADUATE,Unlimited,5,Available
CHEM103.01,TEACHING PHYSICS PR.,UNDERGRADUATE,Unlimited,7,Available
CHEM103.01,UNDERGRADUATE PROGRAM IN SCIENCE EDUCATION,UNDERGRADUATE,Unlimited,15,Available
CHEM104.01,CHEMICAL ENGINEERING,UNDERGRADUATE,Unlimited,80,Available
CHEM104.01,INTEGRATED BS&MS PROGRAM IN TEACHING CHEMISTRY,UNDERGRADUATE,Unlimited,3,Available
CHEM104.01,MOLECULAR BIOLOGY & GENETICS,UNDERGRADUATE,Unlimited,81,Available
CHEM104.01,TEACHING CHEMISTRY,UNDERGRADUATE,Unlimited,2,Available
CHEM104.01,TEACHING CHEMISTRY PR.,UNDERGRADUATE,Unlimited,14,Available
CHEM104.01,UNDERGRADUATE PROGRAM IN SCIENCE EDUCATION,UNDERGRADUATE,Unlimited,19,Available
CHEM104.02,CHEMISTRY,UNDERGRADUATE,Unlimited,70,Available
CHEM105.01,CIVIL ENGINEERING,UNDERGRADUATE,Unlimited,109,Available
CHEM105.01,INDUSTRIAL ENGINEERING,UNDERGRADUATE,Unlimited,108,Available
CHEM109.01,COMPUTER EDUCATION & EDUCATIONAL TECHNOLOGY,UNDERGRADUATE,35,26,Available
CHEM109.02,ALL,UNDERGRADUATE,35,36,Try to get consent
CHEM109.03,UNDERGRADUATE PROGRAM IN SCIENCE EDUCATION,UNDERGRADUATE,35,19,Available
CHEM161.01,ALL,ALL,Consent Of Instructor,14,Available
CHEM201.01,ALL,UNDERGRADUATE,50,34,Available
CHEM202.01,CHEMISTRY,UNDERGRADUATE,Unlimited,89,Available
CHEM202.01,INTEGRATED BS&MS PROGRAM IN TEACHING CHEMISTRY,UNDERGRADUATE,Unlimited,0,Available
CHEM202.01,TEACHING CHEMISTRY,UNDERGRADUATE,Unlimited,0,Available
CHEM202.01,TEACHING CHEMISTRY PR.,UNDERGRADUATE,Unlimited,12,Available
CHEM203.01,ALL,UNDERGRADUATE,24,15,Available
CHEM204.01,ALL,UNDERGRADUATE,28,46,Try to get consent
CHEM204.02,ALL,UNDERGRADUATE,28,40,Try to get consent
CHEM242.01,CHEMISTRY,UNDERGRADUATE,Unlimited,82,Available
CHEM242.01,INTEGRATED BS&MS PROGRAM IN TEACHING CHEMISTRY,UNDERGRADUATE,Unlimited,0,Available
CHEM242.01,TEACHING CHEMISTRY,UNDERGRADUATE,Unlimited,0,Available
CHEM242.01,TEACHING CHEMISTRY PR.,UNDERGRADUATE,Unlimited,21,Available
CHEM244.01,CHEMISTRY,UNDERGRADUATE,24,31,Try to get consent
CHEM244.02,ALL,UNDERGRADUATE,24,30,Try to get consent
CHEM244.03,CHEMISTRY,UNDERGRADUATE,24,28,Try to get consent
CHEM308.01,CHEMISTRY,UNDERGRADUATE,Unlimited,52,Available
CHEM352.01,CHEMISTRY,UNDERGRADUATE,Unlimited,72,Available
CHEM356.01,CHEMISTRY,UNDERGRADUATE,15,19,Try to get consent
CHEM356.02,CHEMISTRY,UNDERGRADUATE,15,20,Try to get consent
CHEM356.03,CHEMISTRY,UNDERGRADUATE,15,15,Full
CHEM363.01,CHEMISTRY,UNDERGRADUATE,Unlimited,69,Available
CHEM371.01,ALL,ALL,Consent Of Instructor,8,Available
CHEM400.01,CHEMISTRY,UNDERGRADUATE,Consent Of Instructor,50,Available
CHEM402.01,CHEMISTRY,UNDERGRADUATE,25,39,Try to get consent
CHEM410.01,ALL,UNDERGRADUATE,60,49,Available
CHEM412.01,ALL,UNDERGRADUATE,Consent Of Instructor,5,Available
CHEM417.01,CHEMISTRY,UNDERGRADUATE,15,15,Full
CHEM422.01,CHEMISTRY,UNDERGRADUATE,20,7,Available
CHEM435.01,ALL,ALL,Consent Of Instructor,4,Available
CHEM456.01,ALL,UNDERGRADUATE,Unlimited,7,Available
CHEM471.01,ALL,UNDERGRADUATE,20,66,Try to get consent
CHEM473.01,CHEMISTRY,UNDERGRADUATE,Consent Of Instructor,4,Available
CHEM473.02,CHEMISTRY,UNDERGRADUATE,Consent Of Instructor,0,Available
CHEM473.03,ALL,ALL,Consent Of Instructor,0,Available
CHEM474.01,CHEMISTRY,UNDERGRADUATE,Consent Of Instructor,1,Available
CHEM474.02,CHEMISTRY,UNDERGRADUATE,Consent Of Instructor,0,Available
CHEM474.03,CHEMISTRY,UNDERGRADUATE,Consent Of Instructor,1,Available
CHEM474.04,CHEMISTRY,UNDERGRADUATE,Consent Of Instructor,1,Available
CHEM474.05,CHEMISTRY,UNDERGRADUATE,Consent Of Instructor,5,Available
CHEM474.06,CHEMISTRY,UNDERGRADUATE,Consent Of Instructor,0,Available
CHEM474.07,CHEMISTRY,UNDERGRADUATE,Consent Of Instructor,0,Available
CHEM474.08,CHEMISTRY,UNDERGRADUATE,Consent Of Instructor,3,Available
CHEM474.09,CHEMISTRY,UNDERGRADUATE,Consent Of Instructor,2,Available
CHEM474.10,CHEMISTRY,UNDERGRADUATE,Consent Of Instructor,0,Available
CHEM474.11,CHEMISTRY,UNDERGRADUATE,Consent Of Instructor,2,Available
CHEM474.12,CHEMISTRY,UNDERGRADUATE,Consent Of Instructor,5,Available
CHEM474.13,CHEMISTRY,UNDERGRADUATE,Consent Of Instructor,5,Available
CHEM474.14,CHEMISTRY,UNDERGRADUATE,Consent Of Instructor,2,Available
CHEM474.15,CHEMISTRY,UNDERGRADUATE,Consent Of Instructor,3,Available
CHEM474.16,ALL,ALL,Consent Of Instructor,0,Available
CHEM475.01,CHEMISTRY,UNDERGRADUATE,Consent Of Instructor,1,Available
CHEM475.02,CHEMISTRY,UNDERGRADUATE,Consent Of Instructor,1,Available
CHEM475.03,ALL,ALL,Consent Of Instructor,2,Available
CHEM496.01,CHEMISTRY,UNDERGRADUATE,20,5,Available
CHEM497.01,ALL,UNDERGRADUATE,Unlimited,18,Available
CHEM599.08,ALL,ALL,Consent Of Instructor,1,Available
CHEM700.01,ALL,ALL,Consent Of Instructor,0,Available
STS 302.01,ALL,UNDERGRADUATE,50,52,Try to get consent
CE 212.01,ALL,ALL,Consent Of Instructor,51,Available
CE 214.01,ALL,ALL,Consent Of Instructor,69,Available
CE 244.01,ALL,ALL,Consent Of Instructor,81,Available
CE 246.01,ALL,ALL,Consent Of Instructor,75,Available
CE 322.01,ALL,ALL,Consent Of Instructor,66,Available
CE 336.01,ALL,ALL,80,61,Available
CE 354.01,CIVIL ENGINEERING,UNDERGRADUATE,Unlimited,63,Available
CE 356.01,CIVIL ENGINEERING,UNDERGRADUATE,Unlimited,63,Available
CE 400.01,ALL,ALL,Consent Of Instructor,10,Available
CE 402.01,CIVIL ENGINEERING,UNDERGRADUATE,Consent Of Instructor,54,Available
CE 480.01,ALL,ALL,Consent Of Instructor,23,Available
CE 487.01,ALL,ALL,Consent Of Instructor,2,Available
CE 48C.01,ALL,ALL,Consent Of Instructor,31,Available
CE 48M.01,ALL,ALL,Consent Of Instructor,11,Available
CE 48T.01,ALL,ALL,Consent Of Instructor,1,Available
CE 492.01,CIVIL ENGINEERING,UNDERGRADUATE,Unlimited,31,Available
CE 497.01,ALL,ALL,Consent Of Instructor,3,Available
CE 49F.01,ALL,ALL,Consent Of Instructor,24,Available
CE 505.01,ALL,ALL,Consent Of Instructor,5,Available
CE 530.01,ALL,ALL,Consent Of Instructor,3,Available
CE 538.01,ALL,ALL,Consent Of Instructor,6,Available
CE 544.01,ALL,ALL,Consent Of Instructor,6,Available
CE 546.01,ALL,ALL,Consent Of Instructor,3,Available
CE 548.01,ALL,ALL,Consent Of Instructor,5,Available
CE 551.01,ALL,ALL,Consent Of Instructor,3,Available
CE 564.01,ALL,ALL,Consent Of Instructor,1,Available
CE 572.01,ALL,ALL,Consent Of Instructor,5,Available
CE 579.01,ALL,ALL,Consent Of Instructor,9,Available
CE 58B.01,ALL,ALL,Consent Of Instructor,5,Available
CE 58M.01,ALL,ALL,Consent Of Instructor,4,Available
CE 58Y.01,ALL,ALL,Consent Of Instructor,7,Available
CE 596.01,ALL,ALL,Consent Of Instructor,3,Available
CE 59B.01,ALL,ALL,Consent Of Instructor,1,Available
CE 651.01,ALL,ALL,Consent Of Instructor,4,Available
CE 680.01,ALL,ALL,Consent Of Instructor,4,Available
CE 690.01,ALL,ALL,Consent Of Instructor,0,Available
CE 690.02,ALL,ALL,Consent Of Instructor,0,Available
CE 690.03,ALL,ALL,Consent Of Instructor,5,Available
CE 690.04,ALL,ALL,Consent Of Instructor,6,Available
CE 690.05,ALL,ALL,Consent Of Instructor,5,Available
CE 690.06,ALL,ALL,Consent Of Instructor,1,Available
CE 690.07,ALL,ALL,Consent Of Instructor,0,Available
CE 690.08,ALL,ALL,Consent Of Instructor,0,Available
CE 690.09,ALL,ALL,Consent Of Instructor,4,Available
CE 690.10,ALL,ALL,Consent Of Instructor,2,Available
CE 690.11,ALL,ALL,Consent Of Instructor,7,Available
CE 690.12,ALL,ALL,Consent Of Instructor,3,Available
CE 690.13,ALL,ALL,Consent Of Instructor,1,Available
CE 690.14,ALL,ALL,Consent Of Instructor,2,Available
CE 690.15,ALL,ALL,Consent Of Instructor,0,Available
CE 690.16,ALL,ALL,Consent Of Instructor,5,Available
CE 700.01,ALL,ALL,Consent Of Instructor,4,Available
CE 790.01,ALL,ALL,Consent Of Instructor,1,Available
